'subject','predicate','object',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Age','2',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Age','18393',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Cardio','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Cholestrol','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Diastolic_BP','80',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Patient_Height','168',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Patient_Weight','62',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_0.0','ns1_Systolic_BP','110',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Active','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Age','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Age','20228',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Alcohol','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Cardio','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Cholestrol','3',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Diastolic_BP','90',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Glucose','1',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Patient_Height','156',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Patient_Weight','85',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Smoke','0',,,,,
'http://example.org/CardiovascularDiseaseOntology#diagnostic_test_Results_1.0','ns1_Systolic_BP','140',,,,,
